Topic,Question
120,How do you practice mindfulness or presence in your daily life?
120,What are the ways you're cultivating a sense of calm and stillness in your life?
54,Do you think that the current political climate supports action on climate change?
54,What do you believe is the most pressing issue related to climate change?
54,What do you think is the biggest environmental issue facing us today?
127,What is the most important thing you've learned from your family?
127,What is something you learned from your elders that you still carry with you today?
127,What's something you've learned from owning a pet?
127,What have you learned from your own parents that you have incorporated into your parenting style?
127,What are some of the important life lessons that your family has taught you?
127,What is something you learned from your parents that you still use today?
127,What is the most important lesson you learned from your parents?
127,What is something you learned from your parents that has stayed with you?
127,What do you think is the most important lesson you can pass down to your children?
127,What have you learned from disagreements or conflicts with family members?
127,What is something your child has taught you recently?
68,Have you ever been tested for sexually transmitted infections? Would you be willing to get tested with your partner?
68,How can we work together to improve our communication about sex?
68,How can we work together to ensure our sexual experiences are respectful and enjoyable for both of us?
62,"Do you think journalists should always strive to remain objective, or is it okay to have a point of view?"
62,How do you think the news industry will change in the next 10 years?
62,What is your opinion on the relationship between the press and politicians?
58,What's a habit of mine that you appreciate?
58,What is a new habit you would like to develop for yourself and why?
58,What is your least favorite chore around the house?
86,Have you ever tried a new sport just for fun?
86,What adventure sport have you always wanted to try?
86,What is your favorite outdoor sound?
49,What is your opinion on the environmental impact of cryptocurrency mining?
49,What are some common arguments for and against cryptocurrency?
49,How do you think cryptocurrency will impact the future of money?
61,What is your opinion on the representation of gender and sexuality in education?
61,What is your opinion on the use of gendered language?
61,What is your understanding of gender identity and expression?
131,What is your take on honesty and transparency in a relationship?
131,What is your opinion on taking things slow in a relationship?
131,What is the role of compromise in a healthy relationship?
131,What is your opinion on taking breaks in a relationship?
131,What is your personal philosophy on honesty in a relationship?
131,What is your opinion on giving second chances in a relationship?
131,How important is communication to you in a relationship?
131,What are your thoughts on the role of compromise in a relationship?
131,"What role does honesty play in your life, and why is it important?"
131,What role does compromise play in your romantic relationships?
119,How do you think space exploration will impact our society in the future?
119,What do you think it would be like to live on a space station?
119,What do you think is the most valuable thing we can learn from space exploration?
119,How do you think space exploration has impacted our understanding of our place in the universe?
119,How do you think space exploration will contribute to the future of Earth?
119,What do you think is the most important reason for space exploration?
119,How do you think space exploration will change in the next 50 years?
119,What do you think is the biggest challenge facing space exploration today?
119,How do you think humans will eventually travel to other planets?
119,Why do you think it is important to study space?
119,How important do you think it is for humans to explore space?
119,What do you think is the most important thing to know about space?
119,How do you think space technology will change in the next decade?
95,What is your process for selecting and editing your photos?
95,What is your go-to camera and lens setup?
95,What's a unique way you like to express yourself artistically?
123,What's one thing I do that makes you feel loved and appreciated?
123,What's a way that I make you feel loved that you don't think I realize?
123,What's one way you feel loved that I might not know about?
123,What's one thing I do that makes you feel respected and valued?
123,What makes you feel most loved and appreciated?
123,"What's a small, everyday thing that I do that makes you happy?"
123,What's a way I can make you feel more loved and cherished?
123,What makes you feel the most loved?
123,What's one thing I can do to make you feel more loved?
123,In what ways do you feel most loved by me?
123,What are some of the things that make you feel close to me?
123,What is something I do that makes you feel loved and cared for?
101,What's the most beautiful dream you've ever had?
101,What's the best dream you've ever had?
101,What is the craziest dream you've ever had?
53,"What is your favorite art/literature piece from your childhood, and why?"
53,Have you ever created a piece of art as a gift? What was it and who did you give it to?
53,What is the most impactful work of art or literature from your cultural heritage?
78,What are some ways to cope with grief and loss?
78,What do you miss most about the person you lost?
78,What are some things we can do together to honor the memory of your loved one?
73,What do you believe is the most pressing issue facing society right now?
73,What do you think the world will look like post-pandemic?
73,What political issue do you feel passionately about?
116,What are some ways you can be kinder to yourself today?
116,What are some things you do to practice self-love?
116,How do you show compassion towards yourself when you make a mistake?
116,How can you be kinder to yourself?
116,What can you do to become more accepting of others?
116,What are some ways you can practice self-compassion and self-forgiveness?
116,What are some ways to show kindness towards yourself?
116,What are some ways you can practice self-compassion?
116,What role does compassion play in your life?
116,How do you practice self-compassion and kindness towards yourself?
116,How do you practice self-compassion in your daily life?
116,How can you practice more self-compassion on a daily basis?
116,How do you practice self-compassion?
116,What are some ways you could be more compassionate with yourself?
81,What is one risk you regret not taking?
81,What is the biggest risk you've taken in your personal life?
81,What is one thing you've always wanted to do but haven't because of the risk involved?
85,"What is your favorite book-to-TV adaptation, and why?"
85,What's your favorite TV show or movie adaptation of a book?
85,What do you think is the most significant book in human history and why?
89,What's something you're working on improving?
89,What are some changes you would like to make in your life?
89,What would you like to change about your current job?
128,How do you encourage others to express their emotions?
128,Do you find it easy or difficult to express your emotions? Why?
128,In what ways can we be more empathetic towards each other when communicating?
128,How do you make others feel seen and heard?
128,What's a way that we can better empathize with each other?
128,How do you validate someone's emotions?
128,How do you express your emotions to others?
128,How do you communicate your values and beliefs to others?
128,How do you communicate your needs and feelings to others?
128,Do you feel comfortable talking about your feelings with others?
128,How do you typically express your feelings?
129,How do you make sure you are actively listening to the people you interact with?
129,What are some ways we can make sure we are actively engaging in our conversations?
129,What are some ways we can work on improving our listening skills?
129,How do you actively listen to others in a conversation?
129,What are some ways to actively listen to someone?
129,What is one thing I could do to be a better listener?
129,What role does active listening play in effective work communication?
129,What are some ways you can practice active listening?
129,What are some ways you can be a better listener?
129,What does it mean for you to be a good listener?
129,What are some ways you could better listen to and understand others?
74,What do you think is the most important factor in maintaining a lasting friendship?
74,How can I be a better friend to you?
74,What do you think is the most challenging aspect of maintaining a friendship?
124,"If you could spend a day in the life of anyone from history, who would it be?"
124,"If you could be any astronaut, who would you choose and why?"
124,"If you could switch lives with anyone for a day, who would it be and why?"
124,"If you could be any scientist throughout history, who would you choose to be and why?"
124,"If you could bring someone from the past or future to the present, who would it be and why?"
124,"If you could be any cartoon character for a day, who would it be and why?"
124,"If you could have dinner with any historical figure, who would it be?"
124,What historical figure do you think had the most impact on society and why?
124,"If you could be any fictional character for a day, who would it be and why?"
124,What historical figure would you most want to meet if you could travel back in time?
124,What historical figure do you think is the most misunderstood and why?
124,What historical figure do you admire and why?
99,What are some ways we can show empathy towards each other?
99,What are the benefits of practicing empathy and compassion?
99,How do you show kindness to those around you?
90,Is there a meaning to existence?
90,What do you think is the meaning of life?
90,What do you think is the purpose of suffering?
94,How do you teach your children about responsibility?
94,How do you foster independence in your children?
94,Why is open communication important between parents and children?
75,How do you actively seek out opportunities for personal growth?
75,What is a personal growth practice or routine you incorporate into your life?
75,What is a personal growth-related topic you want to learn more about?
67,Do you believe that people can communicate with the dead? Why or why not?
67,How have your beliefs about death and dying been impacted by your loss?
67,"Do you believe in an afterlife? If so, what do you think it will be like?"
126,What have you learned about yourself since the loss?
126,How have your daily routines changed since losing someone?
126,In what ways has your grief impacted your relationships with others?
126,How has your relationship with your loved one changed since their passing?
126,What have you learned about yourself since experiencing this loss?
126,What changes have you noticed in yourself since your loss?
126,How has your life changed since the loss?
126,In what ways has your loss impacted your view of the world?
126,What lessons has grief taught you about life and living?
126,In what ways have your experiences with loss changed your perspective on life?
126,What has the experience of grief taught you about life?
80,How can we make sure we're meeting each other's emotional needs?
80,How can we maintain a healthy balance of power in our relationship?
80,How can we better balance our individual needs with our needs as a couple?
117,What are some things you are excited about as you move forward?
117,What is something that you are currently looking forward to?
117,What accomplishment are you most looking forward to achieving in the future?
117,What's something that you're looking forward to in the near future?
117,What's one thing you're looking forward to in your future?
117,What are some things you're looking forward to in this new phase of your life?
117,"What are some of our hopes and fears for this stage of life, and how can we work together to make the most of it?"
117,What are some things you are looking forward to as you move forward?
117,What's something you're looking forward to?
117,What are some things you’re looking forward to in the coming months?
117,What is something you're looking forward to in the future and why?
117,What is a project or task you're looking forward to?
117,What's something you're looking forward to this week?
117,What are some things you're looking forward to?
71,What are some ways you can overcome imposter syndrome and feel more confident?
71,How do you typically respond when you feel like someone is attacking or criticizing you?
71,How do you deal with negative self-talk?
19,What is your definition of masculinity/femininity?
19,What does gender mean to you?
19,What do you think about the concept of toxic masculinity?
121,What are some of your favorite things about getting older?
121,How do you feel about the aging process?
121,How do you see yourself adapting to new challenges as you age?
121,What excites you about growing older?
121,"What are some of the challenges of aging that we may face together, and how can we prepare for them?"
121,What are some positive aspects of aging that people often overlook?
121,What is something you appreciate more now that you are older?
121,What worries you about growing older?
121,What are your thoughts on intergenerational relationships?
121,What are your thoughts on the process of aging and how it's viewed in society?
121,What are your thoughts on aging and how it is perceived in society?
121,What are some of the fears you have about getting older?
108,What are your thoughts on our physical intimacy?
108,What is your definition of intimacy?
108,What role does intimacy play in your sexual experiences?
